; trail and error,,
KIDSSystemResource,c21b5cd6,H0000_Joker.mud
CharacterEditor,948554ec,H0000_Joker.g1m
CharacterEditor,948554ec,H0000_Joker.mtl
CharacterEditor,49afd70f,H0000_Joker.ktid
CharacterEditor,9b74e66a,H0000_Joker.grp
CharacterEditor,9b74e66a,H0000_Joker.grp
CharacterEditor,867f8e65,H0000_Joker.oid
CharacterEditor,1ad8db12,H0000_Joker.oidex
