KIDSSystemResource,e14c2042,ProjectShaderCache_PD.motor.kidsscndb.name
KIDSSystemResource,0b532af4,ScreenLayoutEditor.Common.sound.kidssingletondb.name
KIDSSystemResource,56f7dc3c,MaterialCommonResource.motor.kidssingletondb.name
KIDSSystemResource,b5d18f71,Field_Common.kidsobjdb.name
KIDSSystemResource,fcf6fc82,Field_Common.character.level.kidsobjdb.name
KIDSSystemResource,cb3c8b15,CharacterEditor.kidssingletondb.name
KIDSSystemResource,474778f0,Field_Common.effect.kidsobjdb.name
KIDSSystemResource,bc1e4aa9,CharacterEditor.kidsobjdb.name
KIDSSystemResource,aa91cb96,Field_Common.character.level.kidssingletondb.name
KIDSSystemResource,69a3e2d8,EnvironmentCommonResource.motor.kidssingletondb.name
KIDSSystemResource,34f95989,MaterialEditor.kidssingletondb.name
KIDSSystemResource,4ac7e5c0,CharacterEditorRealtimeRigScriptProject.kidsobjdb.name
KIDSSystemResource,10573366,Field_Common.sound.kidssingletondb.name
; name,RDB,
CharacterEditor,de91b561,CharacterEditor.rdb.name
EventMaker3,a071f28e,EventMaker3.rdb.name
FieldEditor4,f437fe16,FieldEditor4.rdb.name
KIDSSystemResource,bcc13c53,KIDSSystemResource.rdb.name
RRPreview,067a824f,RRPreview.rdb.name
ScreenLayout,8c759c7f,ScreenLayout.rdb.name
SequenceEditor,c9e4076a,SequenceEditor.rdb.name
system,0a603d98,system.rdb.name
